Age,Income,Tour
24,88500,0
59,68500,0
53,61500,1
42,42200,0
42,28200,1
63,54300,1
24,63800,0
55,103900,1
30,67900,0
24,86600,0
46,54000,0
69,38900,0
57,43800,1
58,49000,0
56,111800,1
60,46900,1
46,83400,1
26,45100,0
62,85500,1
42,73500,1
45,61600,0
38,64100,0
29,50600,0
67,74800,1
59,55000,0
52,38000,0
40,36900,1
61,68800,1
47,99700,1
42,68500,0
42,62400,0
31,71300,0
24,93700,1
48,69800,1
65,56000,0
23,89300,0
63,74400,1
62,98800,0
34,69000,0
52,38100,0
28,34900,0
58,101300,1
55,102900,1
38,61100,0
23,56600,0
69,97200,1
42,40600,0
65,45300,1
54,79200,0
59,56300,1
58,64900,0
29,61400,0
38,72400,1
43,96000,1
45,67000,0
22,79200,0
47,25000,0
27,63900,0
57,46400,1
54,38200,0
67,45700,0
57,57600,1
38,85100,1
69,35800,0
40,65700,0
36,54300,0
66,57800,1
38,87100,0
23,76800,0
43,94400,0
60,61600,1
29,49700,0
43,60100,0
26,70300,0
55,68900,0
44,41100,0
36,67000,1
31,70000,0
48,120400,1
54,106300,0
67,46200,1
42,58700,1
28,32800,0
62,52000,0
52,71900,0
55,91500,1
24,49000,0
35,50600,0
59,25000,0
62,61400,0
42,41600,0
61,53400,1
62,45700,0
39,62900,1
65,26300,0
34,32700,0
32,111800,0
54,36700,0
52,40900,0
27,105400,0
62,128900,1
30,39200,0
61,56900,1
20,72500,0
60,103000,0
60,43300,1
59,59600,1
53,82100,1
44,74600,0
55,56700,1
34,62100,0
59,34800,0
48,59800,1
43,59100,0
45,70100,1
49,52800,1
21,75400,0
27,87300,0
32,68400,0
25,72700,0
42,66200,1
54,65000,0
53,49100,0
44,72000,1
63,62900,1
48,111000,0
24,99600,0
59,73500,0
49,48200,1
52,40500,1
48,91200,1
48,70800,1
24,75600,0
48,26600,0
60,85400,0
35,75000,0
50,40600,0
21,54600,0
37,70800,1
42,66200,1
70,58600,1
30,62700,1
34,59500,0
40,68400,0
70,97400,1
63,25000,0
21,59800,0
31,68900,0
61,71500,1
22,56800,0
63,26400,0
34,72200,0
66,103000,1
34,31300,0
42,84000,1
53,57800,0
26,63700,0
48,41800,1
45,57600,0
59,93600,1
70,77800,0
53,103100,1
40,90900,0
40,74700,0
41,103400,1
61,74700,1
36,83200,0
28,58500,0
37,66500,0
21,49700,0
25,86800,0
24,39100,0
59,82200,0
56,60800,1
55,90800,1
43,81500,1
56,105100,0
28,81100,0
65,30400,0
45,63500,1
67,39200,0
27,53600,0
45,98200,1
55,79000,1
45,49600,1
42,42700,0
28,65700,0
39,38200,0
32,50200,0
35,71900,0
54,90400,1
52,78400,1
50,25000,0
38,71700,1
68,66600,1
24,74100,0
37,100600,1
26,25000,0
37,52000,0
69,78000,0
38,30200,0
66,97500,1
45,73100,0
55,83600,0
43,52400,0
33,82900,0
58,88500,1
69,70100,0
33,70200,0
59,70900,1
33,46000,1
56,61800,0
60,61600,0
42,73400,0
57,87000,0
33,41700,0
24,62200,0
24,97600,0
42,48600,0
66,46900,1
26,69500,0
43,83600,0
55,65300,1
30,94200,0
56,83800,1
35,83500,0
61,77200,1
49,116200,1
47,60500,0
29,25000,0
43,100300,0
63,54900,0
20,67400,0
58,93800,1
45,29800,0
56,37500,0
53,29800,0
42,47500,0
35,74700,0
51,76500,0
27,71100,1
49,33900,0
24,25000,0
53,66200,0
52,54600,0
24,75100,0
58,80400,0
41,68000,0
60,81700,0
22,70000,0
29,76700,0
45,49500,0
29,61000,0
36,69300,0
53,83100,0
27,56300,0
54,76500,1
25,59200,0
28,62400,0
49,83200,1
60,25000,0
28,36500,1
35,32400,1
67,25000,0
70,50100,0
49,81500,0
42,58700,1
37,69400,0
51,89000,1
50,94200,0
35,63500,0
21,94800,0
27,67000,0
68,46600,1
41,51900,0
44,32400,0
43,45500,0
59,57100,1
23,82700,0
24,102900,1
34,34600,0
44,73600,0
54,42100,0
45,75400,0
42,62100,1
67,25000,0
28,85400,1
49,51700,0
47,53300,1
44,41500,0
61,50600,1
33,74400,0
68,60800,0
36,72200,0
47,73000,0
46,94100,0
63,57500,0
42,32500,1
34,88500,1
21,57700,0
